iter	Passed	Remaining
0	132	132092
1	134	67045
2	136	45417
3	140	34870
4	145	29038
5	148	24621
6	150	21386
7	153	19005
8	161	17778
9	164	16236
10	167	15024
11	169	13939
12	174	13283
13	178	12569
14	180	11858
15	182	11239
16	189	10956
17	191	10451
18	192	9960
19	202	9917
20	204	9541
21	205	9148
22	210	8920
23	215	8768
24	217	8495
25	220	8251
26	227	8185
27	229	7960
28	232	7776
29	237	7676
30	240	7506
31	242	7330
32	246	7232
33	250	7111
34	253	6982
35	255	6838
36	259	6743
37	261	6622
38	263	6499
39	266	6399
40	273	6389
41	276	6298
42	277	6183
43	284	6190
44	287	6101
45	290	6021
46	293	5960
47	298	5924
48	300	5839
49	303	5771
50	309	5765
51	312	5702
52	314	5627
53	316	5536
54	322	5544
55	324	5477
56	328	5428
57	333	5422
58	337	5379
59	339	5318
60	340	5244
61	343	5200
62	348	5184
63	352	5148
64	354	5094
65	358	5074
66	361	5034
67	363	4985
68	371	5006
69	372	4954
70	375	4907
71	378	4877
72	384	4882
73	388	4856
74	390	4812
75	398	4842
76	401	4818
77	404	4781
78	412	4804
79	415	4772
80	417	4733
81	420	4704
82	425	4703
83	428	4669
84	431	4649
85	438	4663
86	440	4627
87	443	4600
88	453	4641
89	455	4606
90	458	4575
91	461	4552
92	464	4530
93	467	4504
94	470	4483
95	473	4454
96	476	4431
97	484	4460
98	486	4429
99	488	4400
100	492	4383
101	498	4388
102	501	4367
103	503	4339
104	510	4354
105	513	4329
106	515	4302
107	520	4300
108	523	4279
109	527	4270
110	530	4245
111	535	4246
112	538	4227
113	540	4202
114	544	4193
115	547	4171
116	549	4147
117	551	4118
118	559	4141
119	561	4119
120	563	4096
121	568	4089
122	573	4087
123	576	4071
124	578	4050
125	584	4057
126	588	4045
127	591	4026
128	593	4006
129	599	4011
130	602	3993
131	604	3976
132	609	3971
133	611	3953
134	614	3935
135	620	3938
136	622	3921
137	624	3902
138	628	3894
139	634	3895
140	636	3876
141	638	3857
142	645	3867
143	647	3849
144	649	3831
145	660	3863
146	662	3845
147	667	3843
148	673	3845
149	676	3834
150	678	3816
151	682	3808
152	686	3798
153	688	3781
154	691	3768
155	698	3781
156	701	3764
157	703	3747
158	707	3741
159	711	3733
160	714	3721
161	716	3705
162	724	3720
163	726	3705
164	729	3690
165	736	3699
166	739	3690
167	742	3674
168	744	3658
169	748	3653
170	751	3641
171	753	3626
172	761	3641
173	764	3630
174	767	3616
175	772	3617
176	776	3610
177	790	3648
178	803	3684
179	807	3676
180	811	3669
181	813	3656
182	815	3642
183	818	3629
184	824	3631
185	826	3618
186	829	3606
187	835	3609
188	838	3597
189	841	3588
190	843	3574
191	849	3574
192	852	3563
193	854	3549
194	856	3535
195	862	3536
196	864	3524
197	866	3511
198	871	3507
199	875	3501
200	877	3488
201	879	3474
202	887	3483
203	889	3470
204	891	3457
205	895	3450
206	901	3451
207	903	3438
208	906	3428
209	912	3432
210	914	3420
211	917	3409
212	921	3404
213	930	3416
214	933	3407
215	938	3405
216	941	3395
217	947	3397
218	950	3388
219	960	3403
220	962	3393
221	965	3383
222	969	3377
223	971	3366
224	979	3373
225	982	3365
226	984	3354
227	988	3346
228	993	3346
229	996	3337
230	999	3325
231	1002	3318
232	1005	3311
