iter	Passed	Remaining
0	482	481849
1	484	241834
2	496	164939
3	499	124328
4	504	100475
5	507	84111
6	521	73967
7	525	65140
8	529	58335
9	532	52707
10	543	48891
11	546	44969
12	556	42260
13	559	39378
14	561	36884
15	568	34956
16	693	40092
17	696	37972
18	801	41363
19	848	41587
20	1166	54402
21	1184	52634
22	1281	54433
23	1284	52223
24	1294	50501
25	1299	48689
26	1309	47177
27	1985	68934
28	1993	66757
29	1996	64542
30	1999	62508
31	2008	60766
32	2011	58945
33	2014	57236
34	2018	55643
35	2021	54122
36	2023	52660
37	2025	51289
38	2028	49978
39	2628	63074
40	2630	61526
41	2633	60073
42	2636	58674
43	2638	57330
44	2647	56184
45	2649	54953
46	2652	53774
47	2654	52650
48	2665	51724
49	2667	50683
50	2670	49689
51	2679	48857
52	3168	56612
53	3170	55550
54	3173	54523
55	3178	53588
56	3187	52729
57	3190	51816
58	3200	51046
59	3203	50188
60	3205	49348
61	3217	48673
62	3221	47906
63	3223	47141
64	3285	47267
65	3288	46543
66	3292	45849
67	3357	46024
68	3369	45465
69	3372	44801
70	3375	44160
71	3386	43643
72	3388	43028
73	3403	42588
74	4277	52761
75	4296	52242
76	4300	51554
77	4315	51007
78	4327	50448
79	4331	49815
80	4345	49306
81	4361	48829
82	4363	48203
83	4369	47646
84	4372	47065
85	4374	46491
86	4706	49395
87	4709	48809
88	4713	48245
89	4720	47730
90	4723	47187
91	4728	46664
92	4730	46134
93	4747	45759
94	4750	45253
95	4756	44791
96	4767	44383
97	4771	43913
98	5301	48249
99	5304	47741
100	5307	47238
101	5309	46747
102	5319	46323
103	5321	45845
104	5324	45387
105	5332	44975
106	5336	44539
107	5339	44098
108	5341	43664
109	5352	43303
110	5365	42972
111	5368	42561
112	5376	42203
113	5379	41805
114	5381	41413
115	5385	41041
116	5400	40759
117	5408	40424
118	5411	40061
119	5415	39712
120	5417	39358
121	5426	39052
122	5439	38781
123	5441	38441
124	5453	38177
125	5456	37852
126	5458	37523
127	5539	37740
128	5543	37426
129	5545	37113
130	5548	36803
131	5550	36497
132	5552	36196
133	5667	36628
134	5670	36330
135	5680	36087
136	5682	35796
137	5694	35571
138	5697	35294
139	5700	35015
140	5702	34741
141	5716	34540
142	5718	34272
143	5721	34009
144	5723	33748
145	5773	33772
146	5776	33521
147	5787	33316
148	5789	33067
149	5804	32894
150	5807	32654
151	5816	32451
152	5819	32214
153	5824	31996
154	5835	31812
155	5850	31653
156	5853	31428
157	5866	31265
158	5868	31042
159	5871	30825
160	5878	30635
161	5882	30426
162	5884	30214
163	5894	30047
164	5896	29841
165	5899	29639
166	5901	29438
167	5910	29273
168	5913	29077
169	6013	29360
170	6017	29174
171	6029	29023
172	6031	28832
173	6033	28644
174	6046	28502
175	6048	28318
176	6050	28135
177	6063	27998
178	6066	27822
179	6075	27675
180	6077	27501
181	6108	27454
182	6110	27281
183	6116	27123
184	6125	26986
185	6128	26819
186	6130	26653
187	6142	26528
188	6144	26364
189	6146	26203
190	6157	26079
191	6159	25922
192	6163	25773
193	6228	25878
194	6232	25726
195	6241	25601
196	6243	25449
197	6246	25300
198	6248	25152
199	6259	25037
200	6261	24891
201	6264	24748
202	6273	24632
203	6276	24491
204	6279	24352
205	6296	24269
206	6307	24161
207	6310	24027
208	6312	23890
209	6323	23788
210	6326	23658
211	6329	23525
212	6341	23431
213	6344	23301
214	6371	23262
215	6389	23193
216	6393	23070
217	6407	22985
218	6411	22863
219	6419	22760
220	6422	22639
221	6458	22633
222	6477	22569
223	6479	22448
224	6482	22329
225	6491	22232
226	6509	22166
227	6511	22049
228	6514	21933
229	6526	21849
230	6528	21734
231	6531	21621
232	6540	21530
233	6543	21419
234	6545	21308
235	6547	21197
236	6556	21108
237	6560	21004
238	6573	20929
239	6575	20822
240	6578	20717
241	6587	20633
242	6589	20529
243	6592	20424
244	6595	20324
245	6607	20252
246	6609	20150
247	6612	20049
248	6621	19972
249	6624	19873
250	6628	19778
251	6642	19715
252	6652	19641
253	6655	19547
254	6720	19634
255	6735	19576
256	6738	19480
257	6751	19417
258	6754	19324
259	6756	19231
260	6787	19218
261	7007	19739
262	7324	20525
263	7480	20853
264	7482	20753
265	7761	21415
266	7763	21312
267	7778	21246
268	7780	21144
269	7783	21043
270	7790	20957
271	7792	20857
272	7795	20758
273	7797	20661
274	7804	20576
275	7807	20480
276	8368	21842
277	8394	21801
278	8396	21698
279	8398	21596
280	8401	21497
281	8404	21397
282	8407	21300
283	8422	21235
284	8432	21155
285	8436	21060
286	8438	20963
287	8440	20867
288	8941	21998
289	9003	22044
290	9006	21944
291	9009	21844
292	9012	21746
293	9016	21651
294	9030	21582
295	9033	21485
296	9036	21388
297	9039	21293
298	9041	21197
299	9050	21117
300	9242	21463
301	9246	21370
302	9248	21274
303	9250	21179
304	9261	21103
305	9263	21009
306	9266	20916
307	9277	20845
308	9280	20752
309	9360	20834
310	9364	20746
311	9376	20676
312	9660	21202
313	9664	21113
314	9668	21025
315	9671	20933
316	9735	20975
317	9740	20890
318	9754	20824
319	9756	20733
320	9801	20732
321	9804	20643
322	9806	20554
323	9890	20635
324	9900	20562
325	9903	20475
326	9915	20406
327	9917	20319
328	9920	20233
329	9923	20147
330	9950	20111
331	10051	20225
332	10054	20140
333	10065	20070
334	10068	19986
335	10086	19932
336	10089	19849
337	10104	19789
338	10117	19726
339	10119	19643
340	10121	19560
341	10131	19493
342	10133	19411
343	10136	19329
344	10146	19264
345	10149	19183
346	10151	19103
347	10164	19042
348	10166	18964
349	10169	18885
350	10180	18823
351	10182	18745
352	10195	18687
353	10197	18609
354	10200	18532
355	10248	18540
356	10263	18485
357	10265	18409
358	10268	18333
359	10294	18300
360	10297	18227
361	10315	18180
362	10329	18126
363	10341	18069
364	10345	17998
365	10348	17926
366	10360	17870
367	10363	17797
368	10394	17775
369	10397	17703
370	10407	17644
371	10410	17574
372	10412	17503
373	10426	17452
374	10429	17382
375	10440	17326
376	10444	17259
377	10510	17295
378	10525	17246
379	10528	17178
380	10539	17122
381	10541	17054
382	10544	16986
383	10555	16933
384	10558	16866
385	10560	16798
386	10576	16752
387	10578	16685
388	10589	16633
389	10592	16567
390	10594	16501
391	10609	16455
392	10612	16391
393	10623	16339
394	10625	16274
395	10628	16211
396	10638	16158
397	10640	16094
398	10642	16030
399	10654	15982
400	10672	15942
401	10675	15880
402	10754	15932
403	10757	15869
404	10759	15807
405	10774	15763
406	10777	15702
407	10788	15653
408	10790	15592
409	10804	15547
410	10806	15486
411	10808	15426
412	10820	15379
413	10823	15319
414	10825	15259
415	10835	15210
416	10837	15151
417	10840	15093
418	10851	15047
419	10854	14989
420	10856	14931
421	10871	14889
422	10873	14832
423	10919	14833
424	10922	14776
425	10988	14806
426	10991	14749
427	10993	14692
428	11007	14650
429	11023	14613
430	11026	14557
431	11038	14513
432	11041	14457
433	11043	14402
434	11045	14346
435	11050	14294
436	11054	14241
437	11065	14197
438	11067	14143
439	11070	14089
440	11081	14046
441	11116	14033
442	11119	13980
443	11132	13941
444	11168	13929
445	11171	13876
446	11174	13824
447	11184	13781
448	11187	13728
449	11189	13676
450	11191	13623
451	11222	13605
452	11224	13554
453	11302	13592
454	11307	13543
455	11317	13501
456	11322	13452
457	11332	13411
458	11335	13360
459	11338	13309
460	11351	13271
461	11354	13222
462	11420	13246
463	11423	13195
464	11425	13145
465	11428	13095
466	11440	13057
467	11442	13007
468	11444	12957
469	11457	12919
470	11459	12870
471	11462	12822
472	11493	12805
473	11495	12756
474	11506	12717
475	11509	12669
476	11525	12636
477	11527	12588
478	11543	12555
479	11546	12508
480	11548	12461
481	11562	12425
482	11564	12378
483	11664	12435
484	11678	12400
485	11683	12356
486	11686	12310
487	11688	12263
488	11738	12266
489	11821	12303
490	11833	12267
491	11835	12220
492	11917	12255
493	11921	12211
494	11936	12177
495	11964	12157
496	11967	12111
497	11970	12066
498	11983	12031
499	11995	11995
500	11998	11950
501	12003	11907
502	12014	11871
503	12032	11841
504	12035	11797
505	12047	11761
506	12065	11731
507	12067	11687
508	12183	11752
509	12194	11716
510	12196	11671
511	12199	11627
512	12202	11583
513	12228	11562
514	12230	11518
515	12233	11475
